epoch,train_loss_total,train_loss_base,train_loss_frequency,train_rel_l1,train_mse,val_loss_total,val_loss_base,val_loss_frequency,val_rel_l1,val_mse,learning_rate
1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00029882114784651444
2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00029530318258873034
3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0002895015846402936
4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0002815078486665576
5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00027144804065905466
6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00025948080979950103
7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0002457948864674291
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00023060610584935994
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00021415400408897832
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001966980406590546
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00017851350653056583
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00015988718266963235
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00014111281733036765
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00012248649346943417
15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001043019593409454
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.684599591102163e-05
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.039389415063997e-05
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.520511353257088e-05
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.151919020049901e-05
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.9551959340945376e-05
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.94921513334424e-05
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1498415359706427e-05
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.6968174112696716e-06
24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.1788521534855743e-06
25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1e-06
